time,press
1507034601.22,1.0
1507034601.38,1.0
1507034601.54,1.0
1507034601.82,1.0
1507034601.95,1.0
1507034602.19,1.0
1507034602.78,1.0
1507034602.91,1.0
1507034603.07,1.0
1507034607.15,1.0
1507034607.33,1.0
1507034607.51,1.0
1507034607.67,1.0
1507034607.84,1.0
1507034608.01,1.0
1507034692.44,1.0
1507034692.55,1.0
1507034693.64,1.0
1507034693.7,1.0
1507034695.74,1.0
1507034695.81,1.0
1507034820.0,1.0
1507034820.16,1.0
1507034820.33,1.0
1507034820.52,1.0
1507034820.76,1.0
1507034821.21,1.0
1507034821.55,1.0
1507034821.69,1.0
1507034822.09,1.0
1507034822.29,1.0
1507034822.5,1.0
1507034822.63,1.0
1507034822.79,1.0
1507034822.97,1.0
1507034823.14,1.0
1507034823.57,1.0
1507034823.86,1.0
1507034823.98,1.0
1507034824.12,1.0
1507034824.26,1.0
1507035023.43,1.0
1507035023.52,1.0
1507035043.2,1.0
1507035043.38,1.0
1507035043.82,1.0
1507035043.84,1.0
1507035043.91,1.0
1507035046.43,1.0
1507035046.69,1.0
1507035046.7,1.0
1507035046.82,1.0
1507035047.1,1.0
1507035047.28,1.0
1507035047.79,1.0
1507035047.96,1.0
1507035048.29,1.0
1507035048.31,1.0
1507035048.45,1.0
1507035048.63,1.0
1507035048.7,1.0
1507035048.72,1.0
1507035048.89,1.0
1507035049.24,1.0
1507035050.08,1.0
1507035050.21,1.0
1507035050.72,1.0
1507035050.84,1.0
1507035051.39,1.0
1507035051.57,1.0
1507035051.97,1.0
1507035052.16,1.0
1507035052.36,1.0
1507035052.84,1.0
1507035053.28,1.0
1507035053.29,1.0
1507035053.4,1.0
1507035053.59,1.0
1507035053.81,1.0
1507035053.82,1.0
1507035053.93,1.0
1507035055.54,1.0
1507035055.71,1.0
1507035055.92,1.0
1507035056.09,1.0
1507035056.48,1.0
1507035070.06,1.0
1507035070.18,1.0
1507035070.43,1.0
1507035265.72,1.0
1507035265.85,1.0
1507035301.26,1.0
1507035301.27,1.0
1507035301.35,1.0
1507035301.56,1.0
1507035301.79,1.0
1507035302.16,1.0
1507035302.19,1.0
1507035302.52,1.0
1507035303.21,1.0
1507035303.47,1.0
1507035303.5,1.0
1507035303.54,1.0
1507035303.57,1.0
1507035303.61,1.0
1507035303.64,1.0
1507035303.67,1.0
1507035303.71,1.0
1507035303.74,1.0
1507035303.78,1.0
1507035303.81,1.0
1507035303.84,1.0
1507035303.88,1.0
1507035303.91,1.0
1507035304.14,1.0
1507035304.34,1.0
1507035304.53,1.0
1507035304.75,1.0
1507035304.93,1.0
1507035305.19,1.0
1507035305.22,1.0
1507035305.26,1.0
1507035305.29,1.0
1507035305.33,1.0
1507035305.36,1.0
1507035305.4,1.0
1507035305.44,1.0
1507035305.47,1.0
1507035306.71,1.0
1507035307.02,1.0
1507035308.17,1.0
1507035308.37,1.0
1507035308.8,1.0
1507035309.01,1.0
1507035309.29,1.0
1507035309.46,1.0
1507035309.47,1.0
1507035309.52,1.0
1507035309.72,1.0
1507035310.22,1.0
1507035310.66,1.0
1507035311.45,1.0
1507035311.61,1.0
1507035311.79,1.0
1507035311.9,1.0
1507035311.98,1.0
1507035312.17,1.0
1507035312.26,1.0
1507035312.83,1.0
1507035313.06,1.0
1507035313.25,1.0
1507035313.35,1.0
1507035313.92,1.0
1507035314.17,1.0
1507035314.5,1.0
1507035314.74,1.0
1507035315.24,1.0
1507035315.94,1.0
1507035316.03,1.0
1507035316.24,1.0
1507035318.41,1.0
1507035318.61,1.0
1507035327.05,1.0
1507035327.22,1.0
1507035327.99,1.0
1507035328.31,1.0
1507035328.86,1.0
1507035329.15,1.0
1507035329.67,1.0
