time,press
1504621866.44,1.0
1504621866.54,1.0
1504621867.06,1.0
1504621867.15,1.0
1504621867.31,1.0
1504621875.26,1.0
1504621875.36,1.0
1504621875.52,1.0
1504621876.21,1.0
1504621876.3,1.0
1504621876.72,1.0
1504621876.78,1.0
1504621879.84,1.0
1504621880.1,1.0
1504621880.13,1.0
1504621880.17,1.0
1504621880.21,1.0
1504621880.25,1.0
1504621880.28,1.0
1504621880.32,1.0
1504621880.35,1.0
1504621880.39,1.0
1504621880.43,1.0
1504621880.46,1.0
1504621880.5,1.0
1504621880.53,1.0
1504621880.57,1.0
1504621880.61,1.0
1504621880.64,1.0
1504621880.68,1.0
1504621880.72,1.0
1504621881.29,1.0
1504621881.39,1.0
1504621881.5,1.0
1504621883.63,1.0
1504621883.71,1.0
1504621883.85,1.0
1504621884.51,1.0
1504621884.65,1.0
1504621885.04,1.0
1504621885.13,1.0
1504621885.29,1.0
1504621885.86,1.0
1504621885.94,1.0
1504621886.13,1.0
1504621887.17,1.0
1504621889.62,1.0
1504621889.64,1.0
1504621889.76,1.0
1504621890.92,1.0
1504621891.06,1.0
1504621894.07,1.0
1504621894.24,1.0
1504621894.44,1.0
1504621895.04,1.0
1504621895.15,1.0
1504621895.28,1.0
1504621895.38,1.0
1504621895.49,1.0
1504621895.65,1.0
1504621895.79,1.0
1504621896.27,1.0
1504621896.45,1.0
1504621896.62,1.0
1504621896.79,1.0
1504621896.97,1.0
1504621897.93,1.0
1504621898.12,1.0
1504621898.85,1.0
1504621899.88,1.0
1504621900.05,1.0
1504621900.23,1.0
1504621900.39,1.0
1504621900.65,1.0
1504621900.68,1.0
1504621900.72,1.0
1504621900.75,1.0
1504621900.79,1.0
1504621900.83,1.0
1504621900.86,1.0
1504621900.9,1.0
1504621900.93,1.0
1504621901.95,1.0
1504621902.14,1.0
1504621902.33,1.0
1504621902.54,1.0
1504621903.55,1.0
1504621903.78,1.0
1504621904.29,1.0
1504621904.61,1.0
1504621904.85,1.0
1504621905.05,1.0
1504621905.23,1.0
1504621905.44,1.0
1504621905.6,1.0
1504621905.81,1.0
1504621906.0,1.0
1504621906.21,1.0
1504621906.81,1.0
1504621907.36,1.0
1504621907.58,1.0
1504621907.81,1.0
1504621908.02,1.0
1504621910.16,1.0
1504621910.34,1.0
1504621910.53,1.0
1504621912.21,1.0
1504621912.39,1.0
1504621912.57,1.0
1504621912.86,1.0
1504621913.2,1.0
1504621913.51,1.0
1504621913.74,1.0
1504621914.35,1.0
1504621914.96,1.0
1504621917.73,1.0
1504621917.84,1.0
1504621918.26,1.0
1504621918.37,1.0
1504621918.88,1.0
1504621919.17,1.0
1504621919.35,1.0
1504621919.75,1.0
1504621919.8,1.0
1504621920.41,1.0
1504621920.42,1.0
1504621920.66,1.0
1504621921.4,1.0
1504621921.47,1.0
1504621921.65,1.0
1504621921.75,1.0
1504621921.82,1.0
1504621922.0,1.0
1504621922.19,1.0
1504621922.95,1.0
1504621923.69,1.0
1504621923.96,1.0
1504621928.14,1.0
1504621928.29,1.0
1504621928.92,1.0
1504621929.03,1.0
1504621929.17,1.0
1504621934.58,1.0
1504621934.81,1.0
1504621937.77,1.0
1504621940.41,1.0
1504621940.65,1.0
1504621941.13,1.0
1504621941.5,1.0
1504621941.83,1.0
1504621942.03,1.0
1504621942.38,1.0
1504621942.57,1.0
1504621942.77,1.0
1504621943.17,1.0
1504621943.67,1.0
1504621944.25,1.0
1504621945.85,1.0
1504621945.99,1.0
1504621946.23,1.0
1504621946.54,1.0
1504621946.71,1.0
1504621946.89,1.0
1504621947.0,1.0
1504621947.18,1.0
1504621947.27,1.0
1504621947.44,1.0
1504621950.85,1.0
1504621951.53,1.0
1504621952.93,1.0
1504621953.92,1.0
1504621954.26,1.0
1504621954.52,1.0
1504621955.82,1.0
1504621955.99,1.0
1504621956.21,1.0
1504621956.72,1.0
1504621957.43,1.0
1504621957.61,1.0
1504621957.84,1.0
1504621958.88,1.0
1504621959.38,1.0
1504621960.3,1.0
1504621960.72,1.0
1504621961.54,1.0
1504621961.78,1.0
1504621962.05,1.0
1504621962.37,1.0
1504621962.7,1.0
1504621963.05,1.0
1504621964.26,1.0
1504622014.37,1.0
1504622014.48,1.0
1504622015.01,1.0
1504622015.08,1.0
1504622016.18,1.0
1504622016.25,1.0
1504622016.36,1.0
1504622016.43,1.0
1504622016.88,1.0
1504622016.92,1.0
1504622017.11,1.0
1504622020.64,1.0
1504622021.41,1.0
1504622021.54,1.0
1504622022.13,1.0
1504622022.23,1.0
1504622022.38,1.0
1504622025.36,1.0
1504622025.53,1.0
1504622026.1,1.0
1504622026.22,1.0
1504622026.89,1.0
1504622027.36,1.0
1504622027.58,1.0
1504622027.67,1.0
1504622027.75,1.0
1504622027.86,1.0
1504622027.97,1.0
1504622028.03,1.0
1504622028.27,1.0
1504622137.99,1.0
1504622138.08,1.0
1504622138.63,1.0
1504622138.72,1.0
1504622138.87,1.0
1504622148.98,1.0
1504622149.17,1.0
1504622149.39,1.0
1504622156.47,1.0
1504622156.62,1.0
1504622156.8,1.0
1504622156.96,1.0
1504622157.31,1.0
1504622157.5,1.0
1504622164.95,1.0
1504622165.09,1.0
1504622165.09,1.0
1504622165.26,1.0
1504622165.46,1.0
1504622165.81,1.0
1504622166.09,1.0
1504622166.11,1.0
1504622166.18,1.0
1504622166.37,1.0
1504622166.55,1.0
1504622166.9,1.0
1504622167.22,1.0
1504622167.42,1.0
1504622167.67,1.0
1504622167.84,1.0
1504622169.5,1.0
1504622169.73,1.0
1504622170.29,1.0
1504622170.61,1.0
1504622178.8,1.0
1504622179.0,1.0
1504622179.26,1.0
1504622179.29,1.0
1504622180.64,1.0
1504622181.38,1.0
1504622191.96,1.0
1504622192.19,1.0
1504622193.76,1.0
1504622194.46,1.0
1504622194.57,1.0
1504622195.08,1.0
1504622195.2,1.0
1504622195.35,1.0
1504622196.55,1.0
1504622196.63,1.0
1504622197.18,1.0
1504622197.25,1.0
1504622197.41,1.0
1504622201.69,1.0
1504622202.73,1.0
1504622239.11,1.0
1504622239.25,1.0
1504622300.99,1.0
1504622303.05,1.0
1504622304.08,1.0
1504622304.61,1.0
1504622306.26,1.0
1504622320.44,1.0
1504622320.53,1.0
1504622321.08,1.0
1504622321.23,1.0
1504622321.42,1.0
1504622324.01,1.0
1504622324.12,1.0
1504622324.28,1.0
1504622324.33,1.0
1504622324.53,1.0
1504622324.75,1.0
1504622324.83,1.0
1504622325.08,1.0
1504622325.19,1.0
1504622325.32,1.0
1504622325.41,1.0
1504622325.55,1.0
1504622325.76,1.0
1504622326.2,1.0
1504622328.2,1.0
1504622328.29,1.0
1504622328.57,1.0
1504622328.78,1.0
1504622330.4,1.0
1504622330.5,1.0
1504622330.7,1.0
1504622330.89,1.0
1504622331.07,1.0
1504622331.14,1.0
1504622331.25,1.0
1504622331.43,1.0
1504622331.52,1.0
1504622331.56,1.0
1504622331.72,1.0
1504622331.86,1.0
1504622332.02,1.0
1504622332.23,1.0
1504622333.27,1.0
1504622333.46,1.0
1504622333.96,1.0
1504622334.42,1.0
1504622334.64,1.0
1504622334.8,1.0
1504622334.9,1.0
1504622335.05,1.0
1504622335.12,1.0
1504622335.3,1.0
1504622339.0,1.0
1504622339.13,1.0
1504622339.67,1.0
1504622339.76,1.0
1504622339.91,1.0
1504622351.88,1.0
1504622352.08,1.0
1504622355.59,1.0
1504622355.64,1.0
1504622355.81,1.0
1504622356.28,1.0
1504622356.46,1.0
1504622356.65,1.0
1504622356.83,1.0
1504622357.26,1.0
1504622357.73,1.0
1504622357.88,1.0
1504622358.29,1.0
1504622358.36,1.0
1504622363.18,1.0
1504622363.27,1.0
1504622363.63,1.0
1504622366.41,1.0
1504622366.55,1.0
1504622366.73,1.0
1504622366.9,1.0
1504622369.29,1.0
1504622369.39,1.0
1504622369.92,1.0
1504622369.99,1.0
1504622370.18,1.0
1504622372.42,1.0
1504622372.52,1.0
1504622372.69,1.0
1504622372.76,1.0
1504622372.96,1.0
1504622373.11,1.0
1504622373.2,1.0
1504622373.32,1.0
1504622373.45,1.0
1504622373.6,1.0
1504622373.72,1.0
1504622373.91,1.0
1504622374.71,1.0
1504622374.81,1.0
1504622374.91,1.0
1504622375.12,1.0
1504622375.4,1.0
1504622375.57,1.0
1504622375.73,1.0
1504622375.98,1.0
1504622376.14,1.0
1504622376.26,1.0
1504622376.4,1.0
1504622376.54,1.0
1504622376.74,1.0
1504622376.86,1.0
1504622377.02,1.0
1504622378.39,1.0
1504622378.52,1.0
1504622378.83,1.0
1504622379.3,1.0
1504622379.53,1.0
1504622380.1,1.0
1504622380.31,1.0
1504622380.64,1.0
1504622380.81,1.0
1504622381.25,1.0
1504622381.43,1.0
1504622381.63,1.0
1504622381.81,1.0
1504622381.97,1.0
1504622382.12,1.0
1504622382.29,1.0
1504622382.46,1.0
1504622382.63,1.0
1504622382.99,1.0
1504622383.14,1.0
1504622383.27,1.0
1504622383.36,1.0
1504622383.6,1.0
1504622383.73,1.0
1504622384.24,1.0
1504622394.13,1.0
1504622394.38,1.0
1504622394.97,1.0
1504622395.12,1.0
1504622395.26,1.0
1504622395.37,1.0
1504622395.64,1.0
1504622395.79,1.0
1504622428.28,1.0
1504622429.31,1.0
1504622429.47,1.0
1504622429.68,1.0
1504622429.98,1.0
1504622430.03,1.0
1504622431.73,1.0
1504622431.8,1.0
1504622432.46,1.0
1504622432.54,1.0
1504622432.7,1.0
1504622434.54,1.0
1504622434.71,1.0
1504622449.55,1.0
1504622449.75,1.0
1504622449.89,1.0
1504622450.39,1.0
1504622450.63,1.0
1504622513.84,1.0
1504622513.93,1.0
1504622514.55,1.0
1504622514.65,1.0
1504622514.83,1.0
1504622519.2,1.0
1504622519.43,1.0
1504622519.57,1.0
1504622519.76,1.0
1504622519.8,1.0
1504622519.89,1.0
1504622520.07,1.0
1504622520.29,1.0
1504622520.62,1.0
1504622521.0,1.0
1504622521.15,1.0
1504622521.25,1.0
1504622521.27,1.0
1504622521.41,1.0
1504622521.6,1.0
1504622521.75,1.0
1504622522.05,1.0
1504622522.33,1.0
1504622522.57,1.0
1504622522.59,1.0
1504622522.69,1.0
1504622522.88,1.0
1504622523.02,1.0
1504622523.39,1.0
1504622523.65,1.0
1504622523.88,1.0
1504622524.21,1.0
1504622524.22,1.0
1504622524.33,1.0
1504622524.54,1.0
1504622524.75,1.0
1504622525.05,1.0
1504622525.61,1.0
1504622525.8,1.0
1504622526.14,1.0
1504622526.15,1.0
1504622526.25,1.0
1504622526.43,1.0
1504622526.62,1.0
1504622526.94,1.0
1504622527.19,1.0
1504622527.42,1.0
1504622527.43,1.0
1504622527.52,1.0
1504622527.72,1.0
1504622527.89,1.0
1504622528.14,1.0
1504622528.52,1.0
1504622528.69,1.0
1504622528.7,1.0
1504622528.81,1.0
1504622529.01,1.0
1504622529.19,1.0
1504622529.46,1.0
1504622529.87,1.0
1504622530.25,1.0
1504622530.43,1.0
1504622530.45,1.0
1504622530.56,1.0
1504622530.75,1.0
1504622531.11,1.0
1504622531.31,1.0
1504622531.68,1.0
1504622532.0,1.0
1504622532.22,1.0
1504622532.49,1.0
1504622532.7,1.0
1504622533.13,1.0
1504622533.56,1.0
1504622534.46,1.0
1504622534.68,1.0
1504622535.04,1.0
1504622535.28,1.0
1504622535.64,1.0
1504622536.3,1.0
1504622536.85,1.0
1504622537.03,1.0
1504622537.04,1.0
1504622537.14,1.0
1504622537.32,1.0
1504622537.65,1.0
1504622537.85,1.0
1504622538.05,1.0
1504622538.52,1.0
1504622539.18,1.0
1504622540.22,1.0
1504622540.72,1.0
1504622541.0,1.0
1504622541.25,1.0
1504622541.71,1.0
1504622542.11,1.0
1504622542.3,1.0
1504622542.63,1.0
1504622543.61,1.0
1504622543.88,1.0
1504622543.89,1.0
1504622543.96,1.0
1504622544.16,1.0
1504622544.82,1.0
1504622545.27,1.0
1504622545.5,1.0
1504622545.7,1.0
