time,press
1504788010.97,1.0
1504788011.09,1.0
1504788039.98,1.0
1504788040.08,1.0
1504788040.62,1.0
1504788040.7,1.0
1504788040.88,1.0
1504788044.33,1.0
1504788044.51,1.0
1504788044.69,1.0
1504788044.85,1.0
1504788045.0,1.0
1504788098.39,1.0
1504788098.51,1.0
1504788099.53,1.0
1504788099.65,1.0
1504788099.82,1.0
1504788101.67,1.0
1504788101.88,1.0
1504788107.19,1.0
1504788107.32,1.0
1504788107.46,1.0
1504788107.59,1.0
1504788108.28,1.0
1504788108.47,1.0
1504788108.63,1.0
1504788108.81,1.0
1504788108.98,1.0
1504788109.44,1.0
1504788109.58,1.0
1504788110.02,1.0
1504788110.11,1.0
1504788126.69,1.0
1504788126.78,1.0
1504788127.52,1.0
1504788127.61,1.0
1504788127.75,1.0
1504788128.2,1.0
1504788128.28,1.0
1504788133.83,1.0
1504788134.0,1.0
1504788134.45,1.0
1504788137.54,1.0
1504788137.65,1.0
1504788137.83,1.0
1504788138.01,1.0
1504788138.17,1.0
1504788138.62,1.0
1504788138.74,1.0
1504788139.13,1.0
1504788139.22,1.0
1504788150.04,1.0
1504788150.19,1.0
1504788150.2,1.0
1504788150.39,1.0
1504788150.88,1.0
1504788151.78,1.0
1504788152.62,1.0
1504788152.74,1.0
1504788152.9,1.0
1504788153.65,1.0
1504788153.75,1.0
1504788153.88,1.0
1504788163.65,1.0
1504788163.87,1.0
1504788164.02,1.0
1504788167.47,1.0
1504788167.56,1.0
1504788168.31,1.0
1504788168.41,1.0
1504788169.27,1.0
1504788169.34,1.0
1504788169.48,1.0
1504788170.51,1.0
1504788170.62,1.0
1504788170.74,1.0
1504788171.3,1.0
1504788171.38,1.0
1504788171.53,1.0
1504788171.92,1.0
1504788172.1,1.0
1504788172.17,1.0
1504788172.3,1.0
1504788173.86,1.0
1504788173.87,1.0
1504788174.22,1.0
1504788174.38,1.0
1504788174.51,1.0
1504788174.62,1.0
1504788174.73,1.0
1504788174.88,1.0
1504788175.19,1.0
1504788175.22,1.0
1504788175.7,1.0
1504788175.9,1.0
1504788176.32,1.0
1504788176.5,1.0
1504788176.58,1.0
1504788176.69,1.0
1504788178.41,1.0
1504788178.5,1.0
1504788178.6,1.0
1504788182.74,1.0
1504788182.91,1.0
1504788183.08,1.0
1504788184.77,1.0
1504788184.89,1.0
1504788185.39,1.0
1504788185.5,1.0
1504788186.71,1.0
1504788186.92,1.0
1504788187.77,1.0
1504788187.79,1.0
1504788188.18,1.0
1504788193.78,1.0
1504788193.78,1.0
1504788194.12,1.0
1504788212.85,1.0
1504788212.92,1.0
1504788213.12,1.0
1504788213.28,1.0
1504788213.44,1.0
1504788213.62,1.0
1504788213.8,1.0
