time,press
1506002706.51,1.0
1506002706.62,1.0
1506002706.73,1.0
1506002706.87,1.0
1506002731.97,1.0
1506002732.16,1.0
1506002732.35,1.0
1506002732.51,1.0
1506002732.73,1.0
1506002733.67,1.0
1506002759.98,1.0
1506002760.11,1.0
1506002760.23,1.0
1506002760.35,1.0
1506002765.16,1.0
1506002765.28,1.0
1506002765.53,1.0
1506002765.72,1.0
1506002765.89,1.0
1506002766.04,1.0
1506002766.3,1.0
1506002766.42,1.0
1506002766.52,1.0
1506002766.71,1.0
1506002766.96,1.0
1506002767.08,1.0
1506002767.25,1.0
1506002767.43,1.0
1506002767.61,1.0
1506002767.97,1.0
1506002781.09,1.0
1506002781.21,1.0
1506002781.42,1.0
1506002781.56,1.0
1506002781.76,1.0
1506002781.93,1.0
1506002782.08,1.0
1506002782.46,1.0
1506002782.65,1.0
1506002782.83,1.0
1506002783.09,1.0
1506002798.08,1.0
1506002798.16,1.0
1506002799.7,1.0
1506002799.82,1.0
1506002799.97,1.0
1506002800.6,1.0
1506002800.68,1.0
1506002801.27,1.0
1506002801.38,1.0
1506003136.68,1.0
1506003136.88,1.0
1506003136.99,1.0
1506003137.44,1.0
1506003137.61,1.0
1506003137.77,1.0
1506003137.93,1.0
1506003138.15,1.0
1506003138.4,1.0
1506003138.71,1.0
1506003138.97,1.0
1506003139.11,1.0
1506003139.27,1.0
1506003139.46,1.0
1506003139.57,1.0
1506003139.69,1.0
1506003139.81,1.0
1506003139.9,1.0
1506003140.02,1.0
1506003140.17,1.0
1506003140.28,1.0
1506003140.36,1.0
1506003140.55,1.0
1506003140.72,1.0
1506003140.83,1.0
1506003141.04,1.0
1506003141.65,1.0
1506003141.94,1.0
1506003142.2,1.0
1506003142.74,1.0
1506003142.91,1.0
1506003143.05,1.0
1506003143.08,1.0
1506003143.51,1.0
1506003143.57,1.0
1506003143.82,1.0
1506003143.84,1.0
1506003144.02,1.0
1506003144.09,1.0
1506003144.18,1.0
1506003144.33,1.0
1506003144.53,1.0
1506003174.62,1.0
1506003174.86,1.0
1506003175.36,1.0
1506003175.56,1.0
1506003175.65,1.0
1506003176.47,1.0
1506003176.66,1.0
1506003176.84,1.0
1506003177.01,1.0
1506003177.18,1.0
1506003177.37,1.0
1506003177.62,1.0
1506003177.74,1.0
1506003177.88,1.0
1506003178.04,1.0
1506003178.16,1.0
1506003178.27,1.0
1506003178.42,1.0
1506003178.93,1.0
1506003179.03,1.0
1506003179.34,1.0
1506003181.18,1.0
1506003181.81,1.0
1506003182.03,1.0
1506003182.22,1.0
1506003182.42,1.0
1506003182.61,1.0
1506003182.78,1.0
1506003182.94,1.0
1506003184.94,1.0
1506003185.09,1.0
1506003191.17,1.0
1506003191.25,1.0
1506003191.41,1.0
1506003191.63,1.0
1506003192.32,1.0
1506003193.49,1.0
1506003194.45,1.0
1506003194.62,1.0
1506003194.83,1.0
1506003195.15,1.0
1506003218.57,1.0
1506003218.71,1.0
1506003218.86,1.0
1506003218.95,1.0
1506003325.05,1.0
1506003326.67,1.0
1506003327.28,1.0
1506003328.72,1.0
1506003330.09,1.0
1506003330.74,1.0
1506003331.54,1.0
1506003331.97,1.0
1506003352.36,1.0
1506003357.31,1.0
1506003357.46,1.0
1506003370.6,1.0
1506003371.11,1.0
1506003371.32,1.0
1506003371.42,1.0
1506003372.33,1.0
1506003372.56,1.0
1506003372.76,1.0
1506003372.87,1.0
1506003372.98,1.0
1506003373.07,1.0
1506003373.27,1.0
1506003373.42,1.0
1506003373.55,1.0
1506003373.69,1.0
1506003373.85,1.0
1506003373.96,1.0
1506003374.2,1.0
1506003374.37,1.0
1506003374.88,1.0
1506003374.99,1.0
1506003375.13,1.0
1506003375.39,1.0
1506003375.62,1.0
1506003376.15,1.0
1506003376.61,1.0
1506003377.15,1.0
1506003377.4,1.0
1506003377.44,1.0
1506003377.47,1.0
1506003377.51,1.0
1506003377.54,1.0
1506003377.57,1.0
1506003377.61,1.0
1506003377.64,1.0
1506003377.67,1.0
1506003377.71,1.0
1506003377.74,1.0
1506003377.78,1.0
1506003377.81,1.0
1506003377.85,1.0
1506003377.88,1.0
1506003377.92,1.0
1506003377.95,1.0
1506003378.86,1.0
1506003379.12,1.0
1506003379.33,1.0
1506003379.71,1.0
1506003379.88,1.0
1506003380.12,1.0
1506003380.3,1.0
1506003380.45,1.0
1506003380.7,1.0
1506003380.87,1.0
1506003381.01,1.0
1506003381.11,1.0
1506003381.58,1.0
1506003381.71,1.0
1506003381.89,1.0
1506003382.09,1.0
1506003382.13,1.0
1506003382.28,1.0
1506003382.38,1.0
1506003382.52,1.0
1506003382.64,1.0
1506003382.85,1.0
1506003383.82,1.0
1506003384.0,1.0
1506003384.33,1.0
1506003392.29,1.0
1506003392.42,1.0
1506003392.55,1.0
1506003392.65,1.0
1506003461.62,1.0
1506003464.26,1.0
1506003465.11,1.0
1506003466.36,1.0
1506003467.33,1.0
1506003468.53,1.0
1506003469.44,1.0
1506003470.31,1.0
1506003495.31,1.0
1506003521.03,1.0
1506003521.2,1.0
1506003525.1,1.0
1506003525.69,1.0
1506003525.88,1.0
1506003526.05,1.0
1506003526.59,1.0
1506003526.63,1.0
1506003526.72,1.0
1506003526.92,1.0
1506003527.14,1.0
1506003527.35,1.0
1506003527.53,1.0
1506003527.71,1.0
1506003527.88,1.0
1506003528.04,1.0
1506003528.21,1.0
1506003528.39,1.0
1506003528.56,1.0
1506003528.8,1.0
1506003528.89,1.0
1506003529.07,1.0
1506003529.23,1.0
1506003529.41,1.0
1506003529.56,1.0
1506003529.73,1.0
1506003529.9,1.0
1506003530.08,1.0
1506003530.25,1.0
1506003530.45,1.0
1506003530.54,1.0
1506003531.33,1.0
1506003531.93,1.0
1506003532.11,1.0
1506003532.81,1.0
1506003533.02,1.0
1506003533.47,1.0
1506003533.89,1.0
1506003534.15,1.0
1506003534.23,1.0
1506003534.41,1.0
1506003534.58,1.0
1506003534.75,1.0
1506003534.96,1.0
1506003535.26,1.0
1506003535.33,1.0
1506003535.85,1.0
1506003536.07,1.0
1506003537.19,1.0
1506003537.33,1.0
1506003537.95,1.0
1506003538.36,1.0
1506003538.61,1.0
1506003539.11,1.0
1506003539.31,1.0
1506003539.34,1.0
1506003539.61,1.0
1506003539.81,1.0
1506003548.77,1.0
1506003548.85,1.0
1506003549.05,1.0
1506003549.24,1.0
1506003549.43,1.0
1506003549.61,1.0
1506003549.8,1.0
1506003550.3,1.0
1506003550.68,1.0
1506003551.84,1.0
1506003553.31,1.0
1506003553.54,1.0
1506003553.59,1.0
1506003553.6,1.0
1506003553.83,1.0
1506003554.02,1.0
1506003554.35,1.0
1506003554.36,1.0
1506003554.45,1.0
1506003554.64,1.0
1506003554.83,1.0
1506003555.02,1.0
1506003555.2,1.0
1506003555.38,1.0
1506003561.09,1.0
1506003561.16,1.0
1506003561.3,1.0
1506003561.66,1.0
1506003561.83,1.0
1506003561.91,1.0
1506003562.09,1.0
1506003563.64,1.0
1506003563.92,1.0
1506003569.16,1.0
1506003569.35,1.0
1506003569.52,1.0
1506003569.73,1.0
1506003569.89,1.0
1506003570.05,1.0
1506003570.19,1.0
1506003570.33,1.0
1506003570.47,1.0
1506003571.33,1.0
1506003572.43,1.0
1506003575.46,1.0
1506003575.67,1.0
1506003575.82,1.0
1506003575.99,1.0
1506003576.15,1.0
1506003576.32,1.0
1506003576.46,1.0
1506003576.62,1.0
1506003576.79,1.0
1506003577.03,1.0
1506003577.21,1.0
1506003577.4,1.0
1506003577.51,1.0
1506003577.65,1.0
1506003577.79,1.0
1506003578.38,1.0
1506003578.53,1.0
1506003578.73,1.0
1506003579.33,1.0
1506003579.51,1.0
1506003579.68,1.0
1506003579.85,1.0
1506003580.01,1.0
1506003580.18,1.0
1506003580.32,1.0
1506003580.49,1.0
1506003581.01,1.0
1506003581.25,1.0
1506003581.44,1.0
1506003581.62,1.0
1506003581.88,1.0
1506003582.07,1.0
1506003582.25,1.0
1506003582.4,1.0
1506003583.88,1.0
1506003584.05,1.0
1506003584.77,1.0
1506003585.33,1.0
1506003585.84,1.0
1506003585.93,1.0
1506003586.05,1.0
1506003586.69,1.0
1506003586.8,1.0
1506003616.3,1.0
1506003617.02,1.0
1506003617.99,1.0
1506003618.71,1.0
1506003618.87,1.0
1506003619.03,1.0
1506003619.19,1.0
1506003619.95,1.0
1506003620.69,1.0
1506003620.73,1.0
1506003620.79,1.0
1506003620.97,1.0
1506003621.88,1.0
1506003621.89,1.0
1506003621.95,1.0
1506003622.22,1.0
1506003623.03,1.0
1506003623.68,1.0
1506003623.88,1.0
1506003624.07,1.0
1506003624.27,1.0
1506003624.63,1.0
1506003624.7,1.0
1506003624.88,1.0
1506003625.05,1.0
1506003625.22,1.0
1506003625.38,1.0
1506003625.56,1.0
1506003626.18,1.0
1506003626.39,1.0
1506003626.65,1.0
1506003626.83,1.0
1506003626.84,1.0
1506003626.91,1.0
1506003627.28,1.0
1506003627.8,1.0
1506003627.98,1.0
1506003628.17,1.0
1506003628.35,1.0
1506003628.52,1.0
1506003628.7,1.0
1506003629.87,1.0
1506003629.98,1.0
1506003631.22,1.0
1506003631.65,1.0
1506003631.66,1.0
1506003631.75,1.0
1506003632.04,1.0
1506003632.64,1.0
1506003632.8,1.0
1506003632.93,1.0
1506003633.23,1.0
1506003633.55,1.0
1506003633.81,1.0
1506003634.08,1.0
1506003634.21,1.0
1506003634.81,1.0
1506003634.83,1.0
1506003634.92,1.0
1506003635.11,1.0
1506003637.12,1.0
1506003637.65,1.0
1506003637.86,1.0
1506003638.17,1.0
1506003638.18,1.0
1506003638.27,1.0
1506003638.47,1.0
1506003642.19,1.0
1506003642.47,1.0
1506003642.9,1.0
1506003643.27,1.0
1506003643.28,1.0
1506003643.33,1.0
1506003643.51,1.0
1506003643.78,1.0
1506003643.8,1.0
1506003643.9,1.0
1506003644.08,1.0
1506003644.92,1.0
1506003644.93,1.0
1506003645.04,1.0
1506003645.26,1.0
1506003645.75,1.0
1506003645.84,1.0
1506003646.03,1.0
1506003646.23,1.0
1506003646.42,1.0
1506003647.1,1.0
1506003647.67,1.0
1506003647.85,1.0
1506003648.21,1.0
1506003648.22,1.0
1506003648.24,1.0
1506003648.43,1.0
1506003648.85,1.0
1506003649.89,1.0
1506003650.07,1.0
1506003650.25,1.0
1506003650.52,1.0
1506003651.0,1.0
1506003652.23,1.0
1506003652.38,1.0
1506003652.55,1.0
1506003652.67,1.0
1506003652.85,1.0
1506003653.74,1.0
1506003654.0,1.0
1506003654.9,1.0
1506003654.91,1.0
1506003655.03,1.0
1506003655.23,1.0
1506003655.45,1.0
1506003655.47,1.0
1506003655.56,1.0
1506003655.93,1.0
1506003656.43,1.0
1506003656.62,1.0
1506003656.79,1.0
1506003657.24,1.0
1506003657.51,1.0
1506003658.14,1.0
1506003659.29,1.0
1506003659.37,1.0
1506003659.52,1.0
1506003659.69,1.0
1506003659.84,1.0
1506003659.91,1.0
1506003660.08,1.0
1506003660.43,1.0
1506003661.44,1.0
1506003661.62,1.0
1506003661.77,1.0
1506003661.98,1.0
1506003662.12,1.0
1506003662.91,1.0
1506003663.11,1.0
1506003663.34,1.0
1506003663.52,1.0
1506003663.7,1.0
1506003663.88,1.0
1506003664.45,1.0
1506003664.9,1.0
1506003665.09,1.0
1506003666.64,1.0
1506003676.15,1.0
1506003676.28,1.0
1506003676.36,1.0
1506003676.49,1.0
1506003810.73,1.0
1506003810.84,1.0
1506003810.95,1.0
1506003811.11,1.0
1506003812.38,1.0
1506003812.49,1.0
1506003814.09,1.0
1506003814.26,1.0
1506003814.44,1.0
1506003814.54,1.0
1506003814.74,1.0
1506003815.09,1.0
1506003815.18,1.0
1506003815.3,1.0
1506003815.45,1.0
1506003816.21,1.0
1506003816.38,1.0
1506003818.9,1.0
1506003819.13,1.0
1506003819.28,1.0
1506003820.7,1.0
1506003820.92,1.0
1506003823.08,1.0
1506003823.09,1.0
1506003823.17,1.0
1506003823.37,1.0
1506003823.64,1.0
1506003823.66,1.0
1506003823.76,1.0
1506003823.94,1.0
1506003824.65,1.0
1506003824.89,1.0
1506003825.06,1.0
1506003825.27,1.0
1506003825.43,1.0
1506003825.61,1.0
1506003825.78,1.0
1506003825.96,1.0
1506003826.73,1.0
1506003826.96,1.0
1506003827.15,1.0
1506003827.33,1.0
1506003827.51,1.0
1506003827.69,1.0
1506003827.86,1.0
1506003828.04,1.0
1506003828.22,1.0
1506003832.81,1.0
1506003832.82,1.0
1506003832.95,1.0
1506003833.16,1.0
1506003833.37,1.0
1506003833.55,1.0
1506003833.89,1.0
1506003833.9,1.0
1506003834.02,1.0
1506003834.22,1.0
1506003834.47,1.0
1506003834.69,1.0
1506003834.93,1.0
1506003835.77,1.0
1506003835.95,1.0
1506003836.11,1.0
1506003836.29,1.0
1506003838.59,1.0
1506003838.78,1.0
1506003838.97,1.0
1506003839.15,1.0
1506003841.04,1.0
1506003857.44,1.0
1506003857.6,1.0
1506003862.51,1.0
1506003862.71,1.0
1506003869.12,1.0
1506003869.18,1.0
1506003869.72,1.0
1506003870.02,1.0
1506003872.37,1.0
1506003872.83,1.0
1506003872.91,1.0
1506003873.19,1.0
1506003878.89,1.0
1506003879.03,1.0
1506003911.69,1.0
1506003911.87,1.0
1506003934.74,1.0
1506003934.83,1.0
1506003934.99,1.0
1506003935.15,1.0
1506003935.31,1.0
1506003939.11,1.0
1506003939.16,1.0
1506003939.33,1.0
1506003939.5,1.0
1506003939.68,1.0
1506003939.86,1.0
1506003940.03,1.0
1506003940.19,1.0
1506003940.35,1.0
1506003940.56,1.0
1506003940.69,1.0
1506003940.9,1.0
1506003941.1,1.0
1506003941.19,1.0
1506003941.72,1.0
1506003941.96,1.0
1506003942.74,1.0
