time,press
1505308655.69,1.0
1505308655.76,1.0
1505308657.75,1.0
1505308657.87,1.0
1505308658.04,1.0
1505308660.11,1.0
1505308660.21,1.0
1505308660.86,1.0
1505308660.95,1.0
1505308661.12,1.0
1505308661.83,1.0
1505308665.52,1.0
1505308665.63,1.0
1505308665.78,1.0
1505308666.24,1.0
1505308666.32,1.0
1505308671.74,1.0
1505308671.9,1.0
1505308672.08,1.0
1505308672.54,1.0
1505308672.74,1.0
1505308673.09,1.0
1505308673.26,1.0
1505308673.35,1.0
1505308673.54,1.0
1505308673.71,1.0
1505308673.89,1.0
1505308674.25,1.0
1505308675.05,1.0
1505308675.32,1.0
1505308675.83,1.0
1505308676.03,1.0
1505308686.95,1.0
1505308687.17,1.0
1505308730.06,1.0
1505308730.1,1.0
1505308730.28,1.0
1505308731.12,1.0
1505308731.48,1.0
1505308731.96,1.0
1505308732.09,1.0
1505308732.3,1.0
1505308733.41,1.0
1505308756.83,1.0
1505308756.98,1.0
1505308757.72,1.0
1505308757.82,1.0
1505308777.53,1.0
1505308777.64,1.0
1505308778.47,1.0
1505308778.56,1.0
1505308778.73,1.0
1505308788.05,1.0
1505308788.51,1.0
1505308788.83,1.0
1505308789.03,1.0
1505308794.99,1.0
1505308795.13,1.0
1505308795.22,1.0
1505308795.36,1.0
1505308795.54,1.0
1505308795.71,1.0
1505308795.81,1.0
1505308795.96,1.0
1505308796.16,1.0
1505308796.27,1.0
1505308796.44,1.0
1505308796.57,1.0
1505308796.71,1.0
1505308796.88,1.0
1505308797.02,1.0
1505308797.18,1.0
1505308797.33,1.0
1505308797.51,1.0
1505308797.7,1.0
1505308797.83,1.0
1505308798.0,1.0
1505308798.18,1.0
1505308798.35,1.0
1505308798.52,1.0
1505308798.68,1.0
1505308798.83,1.0
1505308799.01,1.0
1505308799.36,1.0
1505308799.54,1.0
1505308799.68,1.0
1505308799.84,1.0
1505308799.95,1.0
1505308800.08,1.0
1505308801.05,1.0
1505308801.35,1.0
1505308890.61,1.0
1505308890.7,1.0
1505308891.29,1.0
1505308891.39,1.0
1505308892.03,1.0
1505308892.12,1.0
1505308893.32,1.0
1505308893.55,1.0
1505308894.36,1.0
1505308895.06,1.0
1505308895.24,1.0
1505308895.45,1.0
1505308895.92,1.0
1505308896.21,1.0
1505308896.47,1.0
1505308896.66,1.0
1505308896.84,1.0
1505308897.01,1.0
1505308897.37,1.0
1505308897.63,1.0
1505308897.85,1.0
1505308898.24,1.0
1505308898.49,1.0
1505308898.68,1.0
1505308898.86,1.0
1505308899.46,1.0
1505308899.54,1.0
1505308910.04,1.0
1505308910.1,1.0
1505308910.34,1.0
1505308910.55,1.0
1505308910.72,1.0
1505308910.92,1.0
1505308911.04,1.0
1505308911.43,1.0
1505308911.6,1.0
1505308911.73,1.0
1505308911.85,1.0
1505308911.95,1.0
1505308912.09,1.0
1505308912.21,1.0
1505308912.36,1.0
1505308912.53,1.0
1505308983.99,1.0
1505308984.17,1.0
1505308984.26,1.0
1505308984.44,1.0
1505308984.63,1.0
1505308984.84,1.0
1505308985.36,1.0
1505308985.51,1.0
1505308985.69,1.0
1505308985.78,1.0
1505308985.87,1.0
1505308986.07,1.0
1505308986.18,1.0
1505308986.41,1.0
1505308986.61,1.0
1505308986.8,1.0
1505308987.06,1.0
1505308987.24,1.0
1505308987.41,1.0
1505308988.18,1.0
1505308988.47,1.0
1505308988.66,1.0
1505308988.87,1.0
1505308988.92,1.0
1505308989.06,1.0
1505308989.21,1.0
1505308989.3,1.0
1505308989.42,1.0
1505308989.57,1.0
1505308989.68,1.0
1505308989.77,1.0
1505308989.87,1.0
1505308989.98,1.0
1505308990.9,1.0
1505308991.1,1.0
1505308991.32,1.0
1505308991.49,1.0
1505308991.6,1.0
1505308991.71,1.0
1505308991.86,1.0
1505308992.57,1.0
1505308993.96,1.0
1505308994.12,1.0
1505308994.3,1.0
1505308994.45,1.0
1505308994.95,1.0
1505308995.22,1.0
1505308997.2,1.0
1505308997.39,1.0
1505308997.5,1.0
1505308997.7,1.0
1505308997.92,1.0
1505308998.25,1.0
1505308998.41,1.0
1505308998.57,1.0
1505308998.71,1.0
1505308998.86,1.0
1505308999.14,1.0
1505308999.29,1.0
1505308999.45,1.0
1505308999.56,1.0
1505309000.1,1.0
1505309000.32,1.0
1505309000.44,1.0
1505309000.55,1.0
1505309000.89,1.0
1505309001.09,1.0
1505309001.26,1.0
1505309001.41,1.0
1505309001.66,1.0
1505309001.83,1.0
1505309001.92,1.0
1505309002.07,1.0
1505309002.19,1.0
1505309002.37,1.0
1505309002.53,1.0
1505309002.65,1.0
1505309002.74,1.0
1505309002.9,1.0
1505309003.09,1.0
1505309003.26,1.0
1505309012.19,1.0
1505309012.33,1.0
1505309012.99,1.0
1505309013.09,1.0
1505309013.22,1.0
1505309017.92,1.0
1505309018.06,1.0
1505309018.22,1.0
1505309018.39,1.0
1505309042.16,1.0
1505309042.36,1.0
1505309042.93,1.0
1505309043.02,1.0
1505309043.16,1.0
1505309043.32,1.0
1505309044.18,1.0
1505309044.52,1.0
1505309044.64,1.0
1505309045.19,1.0
1505309045.2,1.0
1505309045.27,1.0
1505309045.45,1.0
1505309045.62,1.0
1505309045.63,1.0
1505309045.77,1.0
1505309046.44,1.0
1505309046.72,1.0
1505309049.91,1.0
1505309050.05,1.0
1505309050.71,1.0
1505309050.82,1.0
1505309050.99,1.0
1505309051.9,1.0
1505309052.01,1.0
1505309052.19,1.0
1505309053.23,1.0
1505309056.95,1.0
1505309057.04,1.0
1505309057.16,1.0
1505309057.65,1.0
1505309057.7,1.0
1505309057.83,1.0
1505309058.02,1.0
1505309058.15,1.0
1505309058.25,1.0
1505309058.42,1.0
1505309058.68,1.0
1505309059.17,1.0
1505309059.25,1.0
1505309059.41,1.0
1505309059.68,1.0
1505309059.79,1.0
1505309059.93,1.0
1505309060.52,1.0
1505309060.69,1.0
1505309061.16,1.0
1505309061.36,1.0
1505309061.55,1.0
1505309061.92,1.0
1505309062.09,1.0
1505309062.39,1.0
1505309062.65,1.0
1505309062.75,1.0
1505309062.83,1.0
1505309063.06,1.0
1505309063.28,1.0
1505309063.41,1.0
1505309063.63,1.0
1505309064.3,1.0
1505309064.47,1.0
1505309064.63,1.0
1505309064.83,1.0
1505309065.15,1.0
1505309065.42,1.0
1505309065.67,1.0
1505309065.7,1.0
1505309065.74,1.0
1505309065.77,1.0
1505309065.8,1.0
1505309065.84,1.0
1505309065.87,1.0
1505309065.9,1.0
1505309066.09,1.0
1505309066.2,1.0
1505309066.44,1.0
1505309066.61,1.0
1505309066.91,1.0
1505309067.01,1.0
1505309067.09,1.0
1505309067.58,1.0
1505309067.73,1.0
1505309067.95,1.0
1505309068.27,1.0
1505309068.44,1.0
1505309068.53,1.0
1505309068.67,1.0
1505309068.99,1.0
1505309069.08,1.0
1505309069.35,1.0
1505309069.51,1.0
1505309069.74,1.0
1505309069.83,1.0
1505309070.17,1.0
1505309070.5,1.0
1505309070.59,1.0
1505309070.73,1.0
1505309076.67,1.0
1505309076.79,1.0
1505309076.93,1.0
1505309077.21,1.0
1505309078.34,1.0
1505309078.46,1.0
1505309078.59,1.0
1505309078.77,1.0
1505309078.89,1.0
1505309079.0,1.0
1505309079.14,1.0
1505309079.57,1.0
1505309080.11,1.0
1505309080.21,1.0
1505309080.32,1.0
1505309085.76,1.0
1505309085.85,1.0
1505309086.0,1.0
1505309086.24,1.0
1505309086.36,1.0
1505309086.57,1.0
1505309086.83,1.0
1505309087.03,1.0
1505309087.13,1.0
1505309087.22,1.0
1505309088.87,1.0
1505309088.93,1.0
1505309089.06,1.0
1505309089.38,1.0
1505309089.55,1.0
1505309089.63,1.0
1505309089.85,1.0
1505309090.04,1.0
1505309090.23,1.0
1505309090.34,1.0
1505309090.43,1.0
1505309091.13,1.0
1505309091.26,1.0
1505309091.42,1.0
1505309092.1,1.0
1505309092.24,1.0
1505309092.41,1.0
1505309092.52,1.0
1505309092.71,1.0
1505309092.81,1.0
1505309093.7,1.0
1505309093.85,1.0
1505309094.04,1.0
1505309114.11,1.0
1505309114.2,1.0
1505309114.37,1.0
1505309114.51,1.0
1505309114.85,1.0
1505309129.56,1.0
1505309129.73,1.0
1505309131.77,1.0
1505309131.93,1.0
1505309132.1,1.0
1505309132.23,1.0
1505309132.41,1.0
1505309135.48,1.0
1505309135.61,1.0
1505309135.9,1.0
1505309136.16,1.0
1505309136.52,1.0
1505309136.73,1.0
1505309136.81,1.0
1505309136.98,1.0
1505309137.34,1.0
1505309140.39,1.0
1505309140.54,1.0
1505309140.69,1.0
1505309140.86,1.0
1505309140.96,1.0
1505309141.36,1.0
1505309141.57,1.0
1505309141.74,1.0
1505309141.92,1.0
1505309143.11,1.0
1505309143.28,1.0
1505309143.44,1.0
1505309143.63,1.0
1505309143.77,1.0
1505309143.92,1.0
